RUT,NOMBRE,CLASIFICACION
76581364-6,SALUD MODERNA DE CHILE SPA,OTRO MUNICIPAL
76581387-5,PRESTADORA DE SERVICIOS EDUCACIONALES Y CAPACITACIÓN SAN GASPAR LIMITADA,OTRO MUNICIPAL
76581478-2,SEGURIDAD PRIVADA CECILIA MARCELA GUERRERO ROMERO E.I.R.L.,OTRO MUNICIPAL
76581483-9,S.S. TARGET SERVICIOS DE SEGURIDAD SPA,OTRO MUNICIPAL
76581699-8,"SERVICIOS DE SEGURIDAD, NELSON VILLA E.I.R.L.",OTRO MUNICIPAL
76581948-2,"SERVICIOS INTEGRALES DE SEGURIDAD, MACARENA PAZ DIAZ DIAZ EMPRESA INDIVIDUAL DE",OTRO MUNICIPAL
76582172-K,"AGENTE COMISIONISTA ,VENTA DE ARTICULOS DE ASEO Y FRUTOS DE PAIS ANGELA TAMARA T",OTRO MUNICIPAL
76582391-9,ASESORIA EN PREVENCION Y COMERCIALIZACION DE ARTICULOS DE SEGURIDAD MIRIAM ERIKA,OTRO MUNICIPAL
76582463-K,SALUD KIMAVIDA PAOLA GALLEGOS LEIVA SPA,OTRO MUNICIPAL
76582844-9,HM PROSALUD & EDUCACION SPA,OTRO MUNICIPAL
76583267-5,SEGURIDAD PRIVADA SIP SPA,OTRO MUNICIPAL
76583348-5,"ALICIA PATRICIA ROMO FARÍAS, EMPRESA DE SERVICIOS INTEGRALES DE SEGURIDAD PRIVAD",OTRO MUNICIPAL
76583771-5,ML CENTRO DE SALUD INTEGRAL SPA,OTRO MUNICIPAL
76583913-0,CAPACITACION Y EDUCACION INTEGRAL JOSE ESPINOSA FERNANDEZ EMPRESA INDIVIDUAL DE,OTRO MUNICIPAL
76584018-K,FOCUS SERVICIOS TRANSITORIOS  EST.  SPA,OTRO MUNICIPAL
76584098-8,ELEJOTA CONSTRUCCION MUEBLES SEGURIDAD Y TELECOMUNICACIONES SOCIEDAD DE RESPONSA,OTRO MUNICIPAL
76584133-K,SEGURIDAD RICARDO RISCO VERA EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA,OTRO MUNICIPAL
76584762-1,SEGURIDAD ALEXANDER GAJARDO  EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA,OTRO MUNICIPAL
76584850-4,SOCIEDAD EDUCACIONAL ARBOLIRIS LIMITADA,OTRO MUNICIPAL
76585095-9,"ANA MILENA ZORONDO ZAMORANO VENTAS POR MAYOR DE PRODUCTOS DE ASEO INDUSTRIAL , E",OTRO MUNICIPAL
76585355-9,TI SEGURIDAD SANTIAGO LUIS ALISTE TAPIA E.I.R.L.,OTRO MUNICIPAL
76585851-8,SERVICIOS ODONTOLOGICOS Y EDUCACIONALES MAURICIO BIZAMA EMPRESA INDIVIDUAL DE RE,OTRO MUNICIPAL
76585889-5,GRUPO ACJ SEGURIDAD PRIVADA SPA,OTRO MUNICIPAL
76585940-9,ACADEMIA NAC.DE SEGURIDAD DE CHILE ACANASEG CAPACITACION LTDA,OTRO MUNICIPAL
76586314-7,EMPRESA DE SERVICIOS TRANSITORIOS ROQUEFORT LIMITADA,OTRO MUNICIPAL
76586548-4,"ONE&ONE, SEGURIDAD , ASEO, TRANSPORTE DE  CARGA Y TRANSPORTE DE PASAJEROS Y COMP",OTRO MUNICIPAL
76586706-1,SU SALUD FARMACIA LIMITADA,OTRO MUNICIPAL
76587183-2,CONSULTORA EDUCACION OMEGA GROUP LIMITADA,OTRO MUNICIPAL
76587312-6,YO SALUD SPA,OTRO MUNICIPAL
76587587-0,MERCADO PARTICULAR  CLEMINDA  DEL TRANSITO  NUÑEZ CHAVEZ E.I.R.L.,OTRO MUNICIPAL
76587641-9,FABRIZIO MUÑOZ MEZZETTI ACTIVIDAD FISICA Y SALUD  EMPRESA INDIVIDUAL DE RESPONSA,OTRO MUNICIPAL
76587853-5,SERVICIOS EDUCACIONALES ABRACADABRA SPA,OTRO MUNICIPAL
76588019-K,FNG SEGURIDAD INTEGRAL SPA,OTRO MUNICIPAL
76588045-9,SEGURIDAD Y TECNOLOGIA RECINTO PROTEGIDO SPA,OTRO MUNICIPAL
76588477-2,VIBRADOS SEGURIDAD INTEGRAL LIMITADA,OTRO MUNICIPAL
76588494-2,JUAN CARLOS CORDERO DINAMARCA EVENTOS Y SERVICIOS DE SEGURIDAD E.I.R.L.,OTRO MUNICIPAL
76588699-6,SEGURIDAD VISUAL SPA,OTRO MUNICIPAL
76589216-3,JERICO SEGURIDAD PRIVADA SPA,OTRO MUNICIPAL
76589218-K,SEGURIDAD TECNOLÓGICA LIMITADA,OTRO MUNICIPAL
76589315-1,REPOSTERIA SALUDABLE CARMEN GLORIA RODE CALVO E.I.R.L.,OTRO MUNICIPAL
76590076-K,CARRASCO Y GALVEZ SEGURIDAD LIMITADA,OTRO MUNICIPAL
76590566-4,SISTEMAS DE SEGURIDAD DAVID BIANIS LAZCANO VERA E.I.R.L.,OTRO MUNICIPAL
76590680-6,SOCIEDAD EDUCACIONAL MIM LIMITADA,OTRO MUNICIPAL
76590866-3,SEGURIDAD INTEGRALES  EDUARDO EMILIANO CORDOVA EMPRESA INDIVIDUAL DE RESPONSABIL,OTRO MUNICIPAL
76590889-2,SIMPLE PEOPLE EMPRESA DE SERVICIOS TRANSITORIOS SPA,OTRO MUNICIPAL
76591282-2,SOCIEDAD EDUCACIONAL GAISMA SPA,OTRO MUNICIPAL
76591678-K,SERVICIOS DE SALUD CAMILO VELASCO E.I.R.L.,OTRO MUNICIPAL
76592006-K,SERVICIOS EDUCACIONALES Y CAPACITACION RV LIMITADA,OTRO MUNICIPAL
76592157-0,SEGURIDAD Y TECNOLOGIA APLICADA SEGTA SPA,OTRO MUNICIPAL
76592445-6,COMERCIALIZADORA DE ARTICULOS DE ASEO Y AFINES ZEUS SPA,OTRO MUNICIPAL
76592894-K,LA PAZTELERÍA ALIMENTACIÓN SALUDABLE SPA,OTRO MUNICIPAL
76593723-K,MARTHA NAVARRO BERNAL CONTRATISTA EN CONSTRUCCION Y ASEO INTEGRAL E.I.R.L.,OTRO MUNICIPAL
76593796-5,CENTRO VETERINARIO V SALUD SPA,OTRO MUNICIPAL
76593843-0,CRISTIAN ZUÑIGA ESCOBAR VENTA Y SERVICIOS DE EXTINTORES Y ARTÍCULOS DE SEGURIDAD,OTRO MUNICIPAL
76593862-7,SILVIA DEL CARMEN GONZÁLEZ BARO SISTEMAS ELECTRÓNICOS DE SEGURIDAD Y OTROS SPA,OTRO MUNICIPAL
76594063-K,SERVICIOS INTEGRALES DE SEGURIDAD PRIVADA Y PREVENCION DE RIESGOS RUBEN GODOY E.,OTRO MUNICIPAL
76594244-6,MARIA ALEJANDRA LOPEZ TORRES LIMPIEZAS Y ASEOS  EMPRESA INDIVIDUAL DE RESPONSABI,OTRO MUNICIPAL
76594338-8,COMERCIALIZADORA DE ARTICULOS DE ASEO VICTOR HUGO GONZALES PALOMINO   E.I.R.L.,OTRO MUNICIPAL
76594497-K,EMPRESA DE SERVICIOS TRANSITORIOS RELEVOS MARITIMOS MM SPA,OTRO MUNICIPAL
76594505-4,SOCIEDAD EDUCACIONAL EDUCERE LIMITADA,OTRO MUNICIPAL
76594523-2,ALIMENTOS SALUDABLES SPA,OTRO MUNICIPAL
76595174-7,COMERCIAL LA SALUD SPA,OTRO MUNICIPAL
76595497-5,VISALMED VIDA Y SALUD LIMITADA,OTRO MUNICIPAL
76595538-6,A & G SEGURIDAD PREVENCION SPA,OTRO MUNICIPAL
76595666-8,PRESTACION DE SERVICIOS DE ASEO Y OBRAS MENORES MARITZA ELIZABETH DIAZ LAZO  E.I,OTRO MUNICIPAL
76595732-K,EMPRESA DE SEGURIDAD BYG LIMITADA,OTRO MUNICIPAL
76596333-8,INSTALACIONES Y MANTENCION  DE SISTEMAS DE SEGURIDAD RYM SPA,OTRO MUNICIPAL
76596566-7,ACER AUSTRAL SEGURIDAD PRIVADA SPA,OTRO MUNICIPAL
76596759-7,SOCIEDAD ASEOS INTEGRALES Y SERVICIOS LIMITADA,OTRO MUNICIPAL
76597088-1,MARIA PILAR DEL TRANSITO GUERRERO MIRANDA MINIMARKET E.I.R.L.,OTRO MUNICIPAL
76597282-5,ASEO TOP SPA,OTRO MUNICIPAL
76597307-4,RODALV SEGURIDAD LIMITADA,OTRO MUNICIPAL
76597496-8,J & C SEGURIDAD INDUSTRIAL LIMITADA,OTRO MUNICIPAL
76597665-0,Ü CENTRO INTEGRAL DE SALUD FITNESS SPA,OTRO MUNICIPAL
76597707-K,"SERV. DE CONSTRUCCION,ASEO Y FLETES EDGAR CARRO EMPRESA INDIVIDUAL DE RESPONSABI",OTRO MUNICIPAL
76597786-K,SEGURIDAD ALFREDO MARTINEZ OLAVE E.I.R.L.,OTRO MUNICIPAL
76597905-6,ASESORIAS EDUCACIONALES & CONTABLES LIMITADA,OTRO MUNICIPAL
76598451-3,SALUDIT SPA,OTRO MUNICIPAL
76598692-3,MANTENIMIENTO INDUSTRIAL EN GASTRONOMIA SEGURIDAD Y TECNOLOGIA LIMITADA,OTRO MUNICIPAL
76599173-0,RM SEGURIDAD ELECTRONICA  RICARDO MELLA MORALES E.I.R.L.,OTRO MUNICIPAL
76599196-K,SEGURIDAD Y ALIMENTACION JOSE PAVEZ EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITA,OTRO MUNICIPAL
76599231-1,SERVICIOS DE SEGURIDAD PAUL ESTAY IBAÑEZ E.I.R.L.,OTRO MUNICIPAL
76599300-8,AGENCIA DE ACREDITACION Y EVALUACION DE EDUCACION SUPERIOR ACREDITACCION S.A.,OTRO MUNICIPAL
76599732-1,EMPRESA DE ASEO LORENZA SANDOVAL MELIQUEO E.I.R.L.,OTRO MUNICIPAL
76600347-8,SEGURIDAD RUTH MANRIQUEZ RIQUELME E.I.R.L.,OTRO MUNICIPAL
76600500-4,ASESORIAS EN SALUD VARGAS Y ONATE LIMITADA,OTRO MUNICIPAL
76600531-4,SEGURIDAD SB VIGILANCIA SPA,OTRO MUNICIPAL
76600773-2,LUIS HERNAN HEYSER DIAZ SERVICIOS DE ASEO E.I.R.L.,OTRO MUNICIPAL
76600880-1,JAIME AURELIO BRAVO JARA TODO TRANSITO CAPACITAC.E.I.R.L.,OTRO MUNICIPAL
76601587-5,SERVICIOS PROFESIONALES DE SALUD  KUMELEN LIMITADA,OTRO MUNICIPAL
76601743-6,BELLEZZE SERVICIOS DE SALUD INTEGRALES LIMITADA,OTRO MUNICIPAL
76601763-0,SEGURIDAD V & C SPA,OTRO MUNICIPAL
76601912-9,HCH SEGURIDAD SPA,OTRO MUNICIPAL
76602248-0,EDUCACION Y DEPORTES MARIA JOSE NAVARRO GUTIERREZ EMPRESA INDIVIDUAL DE RESPONSA,OTRO MUNICIPAL
76602331-2,"ASESORÍAS, AUDITORÍAS Y CAPACITACIONES FINANCIERAS ADMINISTRATIVAS Y EDUCACIONAL",OTRO MUNICIPAL
76602816-0,JABE SALUD E INVERSIONES SPA,OTRO MUNICIPAL
76602829-2,CONSULTA MEDICA Y DENTAL ECUASALUD LIMITADA,OTRO MUNICIPAL
76602887-K,SERVICIOS DE SALUD NOGALES SPA,OTRO MUNICIPAL
76602920-5,SOCIEDAD DE INVERSIONES EDUCACIONALES E INMOBILIARIAS SN.SEBASTIAN S.A,OTRO MUNICIPAL
76603279-6,AMH CALIDAD SALUD LIMITADA,OTRO MUNICIPAL
76603777-1,"COMPRA Y VENTA DE ARTÍCULOS DE ASEO, PLÁSTICOS Y OTROS LUIS MARTINEZ  EMPRESA IN",OTRO MUNICIPAL
76604007-1,TRIBE SEGURIDAD Y VIGILANCIA LIMITADA,OTRO MUNICIPAL
76604539-1,SEGURIDAD PLUS MARIO MUÑOZ E.I.R.L.,OTRO MUNICIPAL
76604696-7,GESTIÓN INTEGRAL EN SEGURIDAD CORPORATIVA SPA,OTRO MUNICIPAL
76604898-6,TECNOLOGÍAS EN SEGURIDAD LIMITADA,OTRO MUNICIPAL
76605436-6,SERVICIOS INTEGRALES PARA LA INDUSTRIA Y DE SEGURIDAD PRIVADA LEONARDO GABRIEL S,OTRO MUNICIPAL
76605784-5,M&P SERVICE ASEO INDUSTRIAL Y OBRAS MENORES EN CONSTRUCCION LIMITADA,OTRO MUNICIPAL
76605788-8,ASEO MARTHA HERRERA E.I.R.L.,OTRO MUNICIPAL
76606498-1,"HILDERBRU MANTENIMIENTOS DE INFRAESTRUCTURAS, ASEO INDUSTRIAL Y JARDINES SPA",OTRO MUNICIPAL
76606682-8,"JUBISA ANGELICA MONTECINO ROJAS, SERVICIOS DE SEGURIDAD ATACAMA Y OTROS EMPRESA",OTRO MUNICIPAL
76606758-1,MANTENCIÓN Y ASEO INDUSTRIAL NETCLEAN SPA,OTRO MUNICIPAL
76606769-7,SALUD Y BIENESTAR FIRST CLASS SPA,OTRO MUNICIPAL
76606990-8,SERVICOS DE PSIQUIATRIA INFANTO-JUVENIL Y EDUCACION DIFERENCIAL LTDA.,OTRO MUNICIPAL
76607023-K,SERVICIOS DE SEGURIDAD LIMITADA,OTRO MUNICIPAL
76607195-3,SOCIEDAD MEDICA RADIOSALUD2 SPA,OTRO MUNICIPAL
76607414-6,SERVICIOS DE ASEO INTEGRAL AMPCCOR LIMITADA,OTRO MUNICIPAL
76607784-6,INSTALACIONES SISTEMAS DE SEGURIDAD HANS RIQUELME GALAZ E.I.R.L.,OTRO MUNICIPAL
76607892-3,"SERVICIOS INTEGRALES DE SEGURIDAD, INFORMÁTICA, TELECOMUNICACIONES, INSTALACIÓN",OTRO MUNICIPAL
76608291-2,SERVICIOS INTEGRALES DE SEGURIDAD PRIVADA LIMITADA,OTRO MUNICIPAL
76608422-2,EDUCACION  Y CAPACITACION VICTOR EDGARDO MORALES CIFRAS E.I.R.L.,OTRO MUNICIPAL
76608432-K,"SEGURIDAD, INFORMÁTICA Y CONECTIVIDAD CAS LIMITADA",OTRO MUNICIPAL
76608451-6,"SEGURIDAD Y SERVICIOS, MARIO OSCAR SANCHEZ ALBORNOZ, EMPRESA INDIVIDUAL DE RESPO",OTRO MUNICIPAL
76608599-7,O. S. SEGURIDAD SPA,OTRO MUNICIPAL
76608657-8,SOLUCIONES DE SEGURIDAD SPA,OTRO MUNICIPAL
76608845-7,MEDICINA COMPLEMENTARIA Y PRESTACIONES DE SALUD LIMITADA,OTRO MUNICIPAL
76609154-7,SERVICIO EDUCACIONAL CARLOS JAVIER GRACE HEIN EMPRESA INDIVIDUAL DE RESPONSABILI,OTRO MUNICIPAL
76609304-3,MIGUEL ANGEL   MUÑOZ  RUBILAR  COMERCIALIZADORA DE ARTICULOS DE OFICINA Y ASEO E,OTRO MUNICIPAL
76609401-5,M&G SEGURIDAD SPA,OTRO MUNICIPAL
76609528-3,SOCIEDAD EDUCACIONAL  H Y A LIMITADA,OTRO MUNICIPAL
76609551-8,MATRIX SEGURIDAD SPA,OTRO MUNICIPAL
76609872-K,SOCIEDAD EDUCACIONAL ACUARELA LIMITADA,OTRO MUNICIPAL
76609910-6,SERVICIOS DE SALUD BEJARES Y CARDENAS SPA,OTRO MUNICIPAL
76610761-3,SERVICIO DE MANTENCIÓN DE EXTINTORES Y VENTAS DE ARTÍCULOS DE SEGURIDAD PABLO HE,OTRO MUNICIPAL
76610830-K,EMPRESA DE SERVICIOS DE SEGURIDAD PRIVADA FU-DU LA SERENA LIMITADA,OTRO MUNICIPAL
76610831-8,ROSA INES VARELA ESCOBAR COMERCIALIZADORA DE ARTICULOS DE ASEO E.I.R.L.,OTRO MUNICIPAL
76610966-7,SOCIEDAD EDUCACIONAL SILVA FUENTES SPA,OTRO MUNICIPAL
76611175-0,EL MESON SALUDABLE SPA,OTRO MUNICIPAL
76611287-0,SOCIEDAD  R Y C SERVICIOS DE SALUD LIMITADA,OTRO MUNICIPAL
76611474-1,BOSTON COLLEGE SERVICIOS EDUCACIONALES SPA,OTRO MUNICIPAL
76611717-1,SISTEMAS DE SEGURIDAD INTEGRAL LIMITADA,OTRO MUNICIPAL
76611740-6,EMPRESA DE SERVICIOS TRANSITORIOS PRIETO Y PRIETO LIMITADA,OTRO MUNICIPAL
76612216-7,EL BAZAR DE LA BUENA SALUD SPA,OTRO MUNICIPAL
76613007-0,OSTEOSALUD CMB SPA,OTRO MUNICIPAL
76613046-1,KIMED SERVICIOS INTEGRALES PARA LA SALUD JESSICCA CAROLINA ROJAS SOTO E.I.R.L.,OTRO MUNICIPAL
76613404-1,SERVICIOS DE SALUD MARLENE ISABEL SOTELO VILLALOBOS E.I.R.L.,OTRO MUNICIPAL
76613950-7,SEGURIDAD INDUSTRIAL BENAVIDES Y OLIVA LIMITADA,OTRO MUNICIPAL
76614022-K,EMPRESA DE SEGURIDAD M&O BIOBIO LIMITADA,OTRO MUNICIPAL
76614387-3,INFORMATICA Y SEGURIDAD FRANCO LOPEZ E.I.R.L.,OTRO MUNICIPAL
76614738-0,CORDILLERA SALUD INTEGRAL MARGARITA DEL CARMEN LILLO MUÑOZ EMPRESA INDIVIDUAL DE,OTRO MUNICIPAL
76614913-8,RODRIGO SANDOVAL MANSILLA ASESORIA SOSTENEDORES EDUCACIONALES E.I.R.L.,OTRO MUNICIPAL
76614936-7,EDUVIGIS DEL TRANSITO PARRAO JOFRE FABRICA DE MASAS DULCES E.I.R.L.,OTRO MUNICIPAL
76615022-5,SR EDUCACION LIMITADA,OTRO MUNICIPAL
76615066-7,RCM SALUD SPA,OTRO MUNICIPAL
76615441-7,ASESORÍAS EDUCACIONALES JOSÉ ALBA VELOSO E.I.R.L.,OTRO MUNICIPAL
76615526-K,ASEO Y TRANSPORTE CLAUDIA LOPEZ ARAVENA E.I.R.L.,OTRO MUNICIPAL
76615637-1,ASEO INDUSTRIAL DANIEL CUBA ABARCA E.I.R.L.,OTRO MUNICIPAL
76615762-9,ASEO INTEGRAL Y SANEAMIENTO VICENTE RAMIREZ VERGARA E.I.R.L.,OTRO MUNICIPAL
76615974-5,COMERCIO ARTICULOS DE OFICINA Y ASEO LILIAN MAGALY RUBIO CASTRO E.I.R.L.,OTRO MUNICIPAL
76616344-0,ATENCION DE SALUD INTEGRAL MAITE FERRER PRIETO E.I.R.L.,OTRO MUNICIPAL
76616982-1,EMPRESA DE SEGURIDAD ALCANTARA ARMAS SPA,OTRO MUNICIPAL
76617091-9,SEGURIDAD Y MANTENCION INTEGRAL MIRIAM VICTORIA SALAZAR MELLA E.I.R.L.,OTRO MUNICIPAL
76617246-6,SERVICIOS SOCIALES Y DE SALUD ANGEL JOSE ARCOS PEÑALOZA E.I.R.L.,OTRO MUNICIPAL
76617509-0,SOCIEDAD DE SERVICIOS EDUCACIONALES A Y S LIMITADA,OTRO MUNICIPAL
76618046-9,MARIA GONZALEZ JAQUE SERVICIOS INTEGRALES DE ASEO Y VIGILANCIA E.I.R.L.,OTRO MUNICIPAL
76618069-8,SERVICIOS GENERALES & ASEOS NORTE SPA,OTRO MUNICIPAL
76618157-0,SERVICIOS INTEGRALES DE SEGURIDAD PRO SEGURIDAD LIMITADA,OTRO MUNICIPAL
76618612-2,SOCIEDAD EDUCACIONAL AMANCAY LIMITADA,OTRO MUNICIPAL
76618764-1,CONSORCIO SEGURIDAD VIAL APSA-LEN LIMITADA,OTRO MUNICIPAL
76619374-9,"CONSULTORA PRO GESTIÓN, SALUD Y DESARROLLO RECURSOS HUMANOS LIMITADA",OTRO MUNICIPAL
76619419-2,SERVICIOS DE ASEO INTEGRAL MARIANELA SANCHEZ QUIROZ E.I.R.L.,OTRO MUNICIPAL
76619645-4,SERVICIOS DE ASEO CECILIA MARDONES VÁSQUEZ E.I.R.L.,OTRO MUNICIPAL
76619787-6,ASEO DE OFICINAS E INDUSTRIAS MENLAND LIMITADA,OTRO MUNICIPAL
76620029-K,ASEO INTEGRAL VALLE HERMOSO SPA,OTRO MUNICIPAL
76620088-5,GOVERNARE SEGURIDAD INTEGRAL SPA,OTRO MUNICIPAL
76620781-2,INMOBILIARIA PASEO LA CRUZ S.A.,OTRO MUNICIPAL
76621318-9,CIRCUITO DE SEGURIDAD SETROF  SPA,OTRO MUNICIPAL
76621544-0,MAMPRO SEGURIDAD Y SERVICIOS SPA,OTRO MUNICIPAL
76621844-K,KISALDENT SALUD DENTAL INTEGRAL SPA,OTRO MUNICIPAL
76622303-6,ORLANDO ESTENIO ROJO ROJO CONTRATISTA EN ASEO Y MANTENCIÓN E.I.R.L.,OTRO MUNICIPAL
76622333-8,COMERCIALIZADORA  DE ELEMENTOS DE PROTECCION PERSONAL.Y ARTICULOS DE SEGURIDAD I,OTRO MUNICIPAL
76622376-1,SOCIEDAD EDUCACIONAL MANRÍQUEZ Y GARCÍA. SOCIEDAD RESPONSABILIDAD LIMITADA,OTRO MUNICIPAL
76622511-K,SEGURIDAD STARK LIMITADA,OTRO MUNICIPAL
76623076-8,SOCIEDAD DE SERVICIOS EDUCACIONALES ELQUI LIMITADA,OTRO MUNICIPAL
76623625-1,CENTRO DE TERAPIAS INTEGRALES DE LA SALUD LIMITADA,OTRO MUNICIPAL
76623645-6,KICEP SALUD Y BIENESTAR SPA,OTRO MUNICIPAL
76624309-6,JARDINES  Y ASEO LUIS JAVIER NINATANTA IGLESIAS EMPRESA INDIVIDUAL DE RESPONSABI,OTRO MUNICIPAL
76624359-2,SALUD MENTAL INTEGRAL SPA,OTRO MUNICIPAL
76624438-6,SEGURIDAD SEGTIL LIMITADA,OTRO MUNICIPAL
76624789-K,ATIDOM SALUD SPA,OTRO MUNICIPAL
76624844-6,ELISA  AMELIA DEL CARMEN RAMIREZ DISTRIBUIDORA DE ARTICULOS DE ASEO Y LIMPIEZA E,OTRO MUNICIPAL
76625866-2,SISTEMAS DE SEGURIDAD ELECTRÓNICA JAVIER FAJARDO ESTRADA E.I.R.L.,OTRO MUNICIPAL
76625887-5,IMPORTADORA Y DISTRIBUIDORA DE SISTEMAS DE SEGURIDAD SPA,OTRO MUNICIPAL
76626322-4,LIMPIEZA Y ASEOS LIMITADA,OTRO MUNICIPAL
76626421-2,EMPRESA DE SERVICIOS TRANSITORIOS NEW WORK LIMITADA,OTRO MUNICIPAL
76626454-9,COCINA SALUDABLE LIMITADA,OTRO MUNICIPAL
76626587-1,ESTÉTICA Y SALUD INTEGRAL NIKOLE ANDREA MORALES CHACANA E.I.R.L.,OTRO MUNICIPAL
76626591-K,SERVICIOS DE SEGURIDAD PRIVADA JUAN PABLO CARTES SANTOS E.I.R.L.,OTRO MUNICIPAL
76626843-9,SERVICIOS GENERALES DE SALUD SEBASTIÁN SÁNCHEZ YANTEN LIMITADA,OTRO MUNICIPAL
76626914-1,ASEO & ORNATO JCH LIMITADA,OTRO MUNICIPAL
76626934-6,SEGURIDAD ARMANDO ANTONIO DURAN PAREDES E.I.R.L.,OTRO MUNICIPAL
76627167-7,ASEOS INTEGRALES OMAR ARIEL RODRIGUEZ LEIVA  EMPRESA INDIVIDUAL DE RESPONSABILID,OTRO MUNICIPAL
76627400-5,CENTRO DE ESTIMUL DESARR Y EXTENC PARA LA EDUC LA CULT Y LA SALUD LTDA,OTRO MUNICIPAL
76628076-5,SEGURIDAD VIAL WILLIAMS AGUSTÍN CUEVAS SAEZ E.I.R.L.,OTRO MUNICIPAL
76628204-0,"SERVICIOS PROFESIONALES CONTABLES, LABORALES Y EDUCACIONALES CADUOL LIMITADA",OTRO MUNICIPAL
76628207-5,SOCIEDAD DE SERVICIOS DE SALUD 7 LAGOS LIMITADA,OTRO MUNICIPAL
76628208-3,MEDICINA ESTETICA INTEGRAL Y SALUD PEREZ ROMERO LIMITADA,OTRO MUNICIPAL
76628345-4,"JAIME EDUARDO RODRIGUEZ NUÑEZ,COMPRA VENTA E INSTALACIÓN DE LAMINAS DE SEGURIDAD",OTRO MUNICIPAL
76628721-2,PRODUCTOS DE ASEO DINKA ALFARO DE LA VEGA NORTLIM E.I.R.L.,OTRO MUNICIPAL
76629155-4,SAN MARTIN VIVALLOS SALUD SPA,OTRO MUNICIPAL
76629205-4,NICJAV SISTEMAS DE SEGURIDAD SPA,OTRO MUNICIPAL
76629485-5,MECROM SEGURIDAD INDUSTRIAL LIMITADA,OTRO MUNICIPAL
76630654-3,ASEO Y MANTENCION INDUSTRIAL ARSEMACY HH LIMITADA,OTRO MUNICIPAL
76630768-K,GRUPO SALUD ILBD SPA,OTRO MUNICIPAL
76630862-7,ACTIVIDADES RELACIONADAS CON LA SALUD HUMANA DANIELA PINO GAY EMPRESA INDIVIDUAL,OTRO MUNICIPAL
76630938-0,"DISTRIBUIDORA PRODUCTOS ALIMENTICIOS, LACTEOS, UTILES DE ASEO, FRUTOS DEL PAIS,",OTRO MUNICIPAL
76631262-4,ALORAF SEGURIDAD SPA,OTRO MUNICIPAL
76631313-2,"FABRICACION ARTICULOS DE FIBRA DE VIDRIO, SALVADOR DEL TRANSITO GUTIERREZ VERDUG",OTRO MUNICIPAL
76631539-9,ARTESANÍAS GERMÁN DEL TRANSITO RODRIGUEZ SALINAS E.I.R.L.,OTRO MUNICIPAL
76631549-6,CARDIOMEDICS TECNOLOGÍA EN SALUD SPA,OTRO MUNICIPAL
76631613-1,ALMACEN ANGELA DEL TRANSITO DELGADO MUÑOZ E.I.R.L.,OTRO MUNICIPAL
76631637-9,C & B SEGURIDAD PROFESIONAL LIMITADA,OTRO MUNICIPAL
76631858-4,SERVICIO DE ASEO MARILUZ TATIANA MERCADO MACAYA E.I.R.L.,OTRO MUNICIPAL
76631911-4,ALIMENTOS Y REFRESCOS SALUDABLES SPA,OTRO MUNICIPAL
76631941-6,EMPRESA DE SEGURIDAD Y TRANSPORTES M & M SPA,OTRO MUNICIPAL
76631966-1,CENTRO MEDICO VALLE SALUD SPA,OTRO MUNICIPAL
76632014-7,SOCIEDAD DE SERVICIOS DE SEGURIDAD PRIVADA INTEGRAL  LIMITADA,OTRO MUNICIPAL
76632059-7,INFOSEC SERVICIOS DE SEGURIDAD INFORMATICA SPA,OTRO MUNICIPAL
76633343-5,"SEGURIDAD PRIVADA, CAMILA TAGLE E.I.R.L.",OTRO MUNICIPAL
76633735-K,SAFETY WORK IMPLEMENTOS DE SEGURIDAD LIMITADA,OTRO MUNICIPAL
76633800-3,ELENA DEL ROSARIO AFA ECHEVARRIA CENTRO DE CAPACITACION EDUCACIONAL Y EMPRESARIA,OTRO MUNICIPAL
76633945-K,MANTENCION DE  MAQUINARIAS  INDUSTRIAL E HIDRAULICA ARNOLDO DEL TRANSITO ARTEAGA,OTRO MUNICIPAL
76634101-2,INGENIERIA Y SEGURIDAD RIVAS SPA,OTRO MUNICIPAL
76634285-K,SEGURIDAD PRIVADA PREVENTIVA SPA,OTRO MUNICIPAL
76634427-5,"SERGIO JONATAN PARRA ALIAGA, SISTEMAS DE VIGILANCIA Y SEGURIDAD  EMPRESA INDIVID",OTRO MUNICIPAL
76634461-5,E & R SEGURIDAD INTEGRAL SPA,OTRO MUNICIPAL
76634697-9,MINIMARKET MARGARITA DEL TRANSITO ORELLANA GONZALEZ E.I.R.L.,OTRO MUNICIPAL
76634851-3,FRANCISCO JAVIER GUERRA ROCO OTROS PROFESIONALES DE LA SALUD EMPRESA INDIVIDUAL,OTRO MUNICIPAL
76635000-3,SERVICIOS DE BIOSEGURIDAD LTDA,OTRO MUNICIPAL
76635230-8,SOC.EDUCACIONAL ROCHA Y COMPANIA LTDA.,OTRO MUNICIPAL
76635753-9,LATSALUD SPA,OTRO MUNICIPAL
76635972-8,ASEO INDUSTRIAL Y LIMPIAFOSAS ELGUETA LIMITADA,OTRO MUNICIPAL
76636046-7,"MAS KINE, SALUD Y DEPORTE SPA",OTRO MUNICIPAL
76636060-2,SOCIEDAD EDUCACIONAL LICEO PARTICULAR MIXTO SAN FELIPE S.A.,OTRO MUNICIPAL
